Account.ExternalID__c,Amount,CloseDate,CreatedDate,LeadSource,Name,StageName,Type,Difficulty__c,ExternalID__c
ACC-12,72000,2025-02-17,2023-08-07T06:49:00+0200,Web,Strategize web-enabled applications,Needs Analysis,New Customer,0,Opp-29
ACC-12,126000,2025-01-08,2022-10-03T16:02:58+0200,Direct Mail,Exploit impactful channels,Perception Analysis,Existing Customer - Upgrade,20,Opp-30
ACC-12,83000,2025-03-06,2024-10-13T07:30:00+0200,Partner Referral,Engage open-source info-mediaries,Proposal/Price Quote,Existing Customer - Downgrade,40,Opp-31
ACC-14,175000,2024-07-24,2022-06-07T03:53:58+0200,Phone Inquiry,Utilize next-generation markets,Prospecting,Existing Customer - Downgrade,35,Opp-32
ACC-14,204000,2024-11-02,2020-07-08T00:49:00+0200,Direct Mail,Deliver compelling eyeballs,Prospecting,Existing Customer - Upgrade,0,Opp-33
ACC-15,161000,2024-05-30,2023-03-08T01:41:00+0200,Direct Mail,Visualize intuitive relationships,Id. Decision Makers,Existing Customer - Upgrade,60,Opp-34
ACC-15,138000,2024-05-18,2022-05-01T16:16:00+0200,Other,Engineer e-business e-commerce,Needs Analysis,Existing Customer - Downgrade,65,Opp-35
ACC-16,19000,2025-01-01,2021-02-09T03:53:00+0200,Direct Mail,Deliver innovative synergies,Id. Decision Makers,Existing Customer - Replacement,30,Opp-36
ACC-16,219000,2025-03-05,2020-12-06T06:15:00+0200,Phone Inquiry,Strategize virtual paradigms,Id. Decision Makers,New Customer,75,Opp-37
ACC-16,239000,2024-09-24,2024-12-10T21:04:00+0200,Partner Referral,Strategize 24/365 content,Closed Won,New Customer,85,Opp-38
ACC-17,189000,2024-05-10,2023-03-13T01:05:00+0200,Web,Reinvent vertical models,Needs Analysis,Existing Customer - Upgrade,85,Opp-39
ACC-17,149000,2024-11-23,2021-09-12T10:38:00+0200,Other,Enhance rich synergies,Negotiation/Review,Existing Customer - Upgrade,0,Opp-40
ACC-17,179000,2024-07-23,2021-07-09T03:08:00+0200,Partner Referral,Expedite b2c channels,Proposal/Price Quote,New Customer,15,Opp-41
ACC-18,218000,2024-05-01,2024-11-07T11:15:00+0200,Phone Inquiry,Transform bleeding-edge schemas,Value Proposition,Existing Customer - Downgrade,40,Opp-42
ACC-19,245000,2025-02-14,2025-01-02T15:20:00+0200,Trade Show,Whiteboard dot-com initiatives,Prospecting,New Customer,45,Opp-43
ACC-20,92000,2025-01-19,2022-04-04T14:57:00+0200,Web,Cultivate b2c users,Prospecting,Existing Customer - Replacement,35,Opp-44
ACC-20,241000,2024-09-26,2020-07-09T12:42:00+0200,Other,Incubate bleeding-edge e-services,Id. Decision Makers,New Customer,90,Opp-45
ACC-20,198000,2024-11-11,2023-11-04T23:37:00+0200,Direct Mail,Incentivize one-to-one communities,Prospecting,New Customer,85,Opp-46
ACC-20,244000,2024-09-15,2022-01-31T20:35:00+0200,Web,Maximize ubiquitous methodologies,Closed Won,Existing Customer - Replacement,50,Opp-47
ACC-20,146000,2024-12-26,2022-09-07T09:02:00+0200,Phone Inquiry,Syndicate efficient e-commerce,Negotiation/Review,Existing Customer - Replacement,20,Opp-48
ACC-20,169000,2024-11-11,2020-08-03T10:12:00+0200,Trade Show,Redefine cross-media technologies,Value Proposition,New Customer,95,Opp-49
ACC-20,171000,2024-11-08,2025-01-10T22:32:00+0200,Partner Referral,Architect dynamic content,Id. Decision Makers,Existing Customer - Downgrade,100,Opp-50
ACC-21,142000,2024-04-08,2021-01-12T14:57:00+0200,Trade Show,Maximize magnetic interfaces,Qualification,Existing Customer - Downgrade,55,Opp-51
ACC-21,189000,2024-05-08,2022-02-28T11:15:00+0200,Direct Mail,Deliver plug-and-play action-items,Closed Lost,Existing Customer - Upgrade,75,Opp-52
ACC-22,167000,2025-01-28,2021-08-06T19:59:00+0200,Trade Show,Syndicate plug-and-play bandwidth,Perception Analysis,Existing Customer - Downgrade,55,Opp-53
ACC-22,142000,2025-01-20,2025-02-01T12:49:00+0200,Phone Inquiry,Reinvent turn-key niches,Proposal/Price Quote,Existing Customer - Downgrade,40,Opp-54
ACC-23,197000,2024-06-13,2022-08-02T07:43:00+0200,Direct Mail,Generate killer partnerships,Qualification,Existing Customer - Replacement,5,Opp-55
ACC-23,31000,2024-10-08,2025-01-08T16:05:00+0200,Web,Embrace viral portals,Prospecting,Existing Customer - Replacement,15,Opp-56
ACC-23,200000,2025-03-14,2021-10-08T09:51:00+0200,Trade Show,Brand clicks-and-mortar users,Id. Decision Makers,Existing Customer - Replacement,55,Opp-57
ACC-24,21000,2024-05-29,2023-08-06T16:59:00+0200,Direct Mail,Aggregate next-generation solutions,Id. Decision Makers,Existing Customer - Downgrade,80,Opp-58
ACC-24,156000,2025-01-18,2022-02-08T14:30:00+0200,Direct Mail,Whiteboard clicks-and-mortar functionalities,Closed Won,Existing Customer - Downgrade,35,Opp-59
ACC-24,140000,2025-03-19,2024-05-08T17:57:00+0200,Trade Show,Grow revolutionary partnerships,Id. Decision Makers,Existing Customer - Replacement,50,Opp-60
ACC-25,16000,2024-05-23,2020-12-08T12:27:00+0200,Web,Grow ubiquitous portals,Perception Analysis,New Customer,20,Opp-61
ACC-26,105000,2025-02-10,2022-11-11T11:44:00+0200,Phone Inquiry,Expedite cross-media synergies,Needs Analysis,Existing Customer - Upgrade,90,Opp-62
ACC-26,27000,2024-06-29,2021-02-04T08:44:00+0200,Trade Show,Transition one-to-one e-business,Value Proposition,Existing Customer - Upgrade,5,Opp-63
ACC-26,193000,2024-08-02,2024-01-09T17:48:00+0200,Phone Inquiry,Reinvent dot-com e-services,Perception Analysis,Existing Customer - Upgrade,20,Opp-64
ACC-26,207000,2024-06-30,2023-06-02T14:46:00+0200,Phone Inquiry,Unleash scalable eyeballs,Perception Analysis,Existing Customer - Downgrade,95,Opp-65
ACC-27,95000,2025-03-01,2024-02-29T20:19:00+0200,Direct Mail,Benchmark efficient models,Id. Decision Makers,Existing Customer - Upgrade,70,Opp-66
ACC-27,219000,2024-04-20,2020-06-06T02:32:00+0200,Web,Engineer cross-media partnerships,Prospecting,Existing Customer - Downgrade,85,Opp-67
ACC-28,57000,2024-11-01,2020-03-06T21:38:00+0200,Phone Inquiry,Maximize vertical partnerships,Perception Analysis,Existing Customer - Upgrade,45,Opp-68
ACC-28,48000,2025-03-27,2023-07-06T15:56:00+0200,Trade Show,Engage one-to-one synergies,Closed Lost,New Customer,90,Opp-69
ACC-29,91000,2024-11-29,2023-01-03T09:38:00+0200,Phone Inquiry,Reinvent leading-edge e-business,Value Proposition,Existing Customer - Downgrade,70,Opp-70
ACC-30,185000,2024-11-28,2021-04-10T13:12:00+0200,Partner Referral,Extend innovative channels,Prospecting,New Customer,35,Opp-71
ACC-31,205000,2024-04-07,2021-09-07T00:53:00+0200,Trade Show,Target impactful channels,Proposal/Price Quote,Existing Customer - Replacement,10,Opp-72
ACC-31,59000,2024-08-19,2024-05-07T22:25:00+0200,Trade Show,Morph robust partnerships,Proposal/Price Quote,Existing Customer - Replacement,60,Opp-73
ACC-31,164000,2024-06-28,2021-02-03T21:27:00+0200,Phone Inquiry,Deliver cutting-edge e-commerce,Closed Lost,Existing Customer - Upgrade,75,Opp-74
ACC-32,140000,2025-02-01,2020-03-12T15:44:00+0200,Other,Seize sticky technologies,Closed Lost,New Customer,95,Opp-75
ACC-32,58000,2025-02-15,2020-08-01T07:25:00+0200,Partner Referral,Innovate granular action-items,Qualification,Existing Customer - Replacement,100,Opp-76
ACC-34,22000,2024-10-11,2020-06-07T13:57:00+0200,Web,Aggregate revolutionary systems,Perception Analysis,Existing Customer - Downgrade,10,Opp-77
ACC-34,175000,2024-10-05,2024-06-01T14:55:00+0200,Web,Mesh innovative initiatives,Id. Decision Makers,Existing Customer - Downgrade,75,Opp-78
ACC-34,76000,2024-06-15,2024-04-08T13:32:00+0200,Phone Inquiry,Enable visionary networks,Prospecting,Existing Customer - Upgrade,20,Opp-79
ACC-36,248000,2024-05-20,2024-07-05T11:15:00+0200,Partner Referral,Leverage interactive partnerships,Prospecting,Existing Customer - Upgrade,25,Opp-80
ACC-36,72000,2025-02-17,2025-03-05T11:03:00+0200,Web,Harness killer niches,Value Proposition,Existing Customer - Downgrade,90,Opp-81
ACC-36,227000,2024-05-30,2021-03-10T13:18:00+0200,Partner Referral,Brand vertical deliverables,Perception Analysis,Existing Customer - Downgrade,85,Opp-82
ACC-36,10000,2024-08-06,2021-09-06T05:19:00+0200,Web,Architect cross-platform info-mediaries,Perception Analysis,Existing Customer - Downgrade,75,Opp-83
ACC-36,24000,2025-01-21,2024-06-05T12:53:00+0200,Phone Inquiry,Optimize wireless technologies,Value Proposition,Existing Customer - Replacement,0,Opp-84
ACC-37,99000,2025-01-31,2021-03-09T14:42:00+0200,Direct Mail,Generate integrated roi,Closed Lost,Existing Customer - Replacement,20,Opp-85
ACC-37,201000,2024-09-21,2024-04-10T17:55:00+0200,Trade Show,Deliver sticky web services,Id. Decision Makers,Existing Customer - Downgrade,30,Opp-86
ACC-37,67000,2025-03-24,2022-10-11T22:32:00+0200,Phone Inquiry,Leverage dot-com platforms,Qualification,Existing Customer - Upgrade,95,Opp-87
ACC-37,216000,2024-10-28,2022-03-03T19:27:00+0200,Partner Referral,Enhance end-to-end web services,Negotiation/Review,Existing Customer - Downgrade,40,Opp-88
ACC-38,227000,2024-09-05,2020-10-09T19:47:00+0200,Partner Referral,Syndicate mission-critical action-items,Closed Won,New Customer,60,Opp-89
ACC-38,225000,2024-09-08,2020-03-07T02:06:00+0200,Phone Inquiry,Streamline seamless architectures,Perception Analysis,Existing Customer - Upgrade,10,Opp-90
ACC-39,51000,2024-07-28,2022-05-02T19:05:00+0200,Web,Empower customized communities,Closed Won,New Customer,5,Opp-91
ACC-39,195000,2025-03-03,2025-03-08T20:17:00+0200,Direct Mail,Implement open-source relationships,Value Proposition,New Customer,60,Opp-92
ACC-40,186000,2024-07-11,2025-03-03T20:46:00+0200,Partner Referral,Orchestrate open-source platforms,Id. Decision Makers,Existing Customer - Upgrade,95,Opp-93
ACC-40,46000,2024-04-28,2021-03-06T08:01:00+0200,Partner Referral,Expedite rich eyeballs,Prospecting,New Customer,90,Opp-94
ACC-40,75000,2025-03-29,2021-03-05T11:53:00+0200,Other,Brand cutting-edge schemas,Negotiation/Review,New Customer,100,Opp-95
ACC-41,47000,2025-02-25,2024-01-31T22:32:00+0200,Phone Inquiry,Whiteboard frictionless interfaces,Id. Decision Makers,Existing Customer - Replacement,25,Opp-96
ACC-41,141000,2024-11-13,2021-04-02T11:21:00+0200,Other,Deliver magnetic infrastructures,Perception Analysis,Existing Customer - Downgrade,55,Opp-97
ACC-41,30000,2024-05-25,2024-04-06T03:24:00+0200,Web,Envisioneer dynamic experiences,Perception Analysis,Existing Customer - Downgrade,40,Opp-98
ACC-42,240000,2024-05-22,2020-10-04T22:34:00+0200,Direct Mail,Harness robust action-items,Closed Lost,Existing Customer - Upgrade,85,Opp-99
ACC-42,243000,2024-04-23,2023-10-09T21:36:00+0200,Other,Incentivize seamless initiatives,Id. Decision Makers,Existing Customer - Replacement,0,Opp-100
ACC-42,146000,2024-04-17,2022-05-03T18:24:00+0200,Phone Inquiry,Syndicate bleeding-edge bandwidth,Id. Decision Makers,Existing Customer - Replacement,80,Opp-101
ACC-42,74000,2025-01-14,2020-08-31T15:15:00+0200,Direct Mail,Visualize holistic deliverables,Negotiation/Review,New Customer,90,Opp-102
ACC-42,95000,2024-10-24,2020-11-05T16:05:00+0200,Other,Productize visionary mindshare,Qualification,Existing Customer - Upgrade,50,Opp-103
ACC-43,10000,2024-12-27,2021-05-13T00:58:00+0200,Other,Monetize dynamic schemas,Prospecting,Existing Customer - Upgrade,35,Opp-104
ACC-43,129000,2024-11-02,2023-05-07T22:09:00+0200,Other,Morph impactful metrics,Qualification,Existing Customer - Upgrade,25,Opp-105
ACC-43,195000,2024-10-08,2021-07-03T11:39:00+0200,Direct Mail,Scale cutting-edge convergence,Needs Analysis,Existing Customer - Replacement,70,Opp-106
ACC-43,216000,2024-11-25,2021-01-12T06:15:00+0200,Phone Inquiry,Redefine out-of-the-box applications,Proposal/Price Quote,Existing Customer - Replacement,25,Opp-107
ACC-44,191000,2024-12-09,2023-09-05T15:29:00+0200,Partner Referral,Facilitate out-of-the-box e-markets,Needs Analysis,New Customer,50,Opp-108
ACC-44,49000,2025-02-27,2022-10-07T19:18:00+0200,Phone Inquiry,Strategize back-end applications,Qualification,New Customer,55,Opp-109
ACC-44,211000,2024-07-28,2024-10-12T23:48:00+0200,Other,Visualize virtual mindshare,Prospecting,Existing Customer - Upgrade,45,Opp-110
ACC-45,106000,2024-11-20,2024-05-07T18:29:00+0200,Other,Expedite e-business channels,Prospecting,Existing Customer - Upgrade,30,Opp-111
ACC-45,98000,2024-12-26,2023-05-05T04:56:00+0200,Trade Show,Re-contextualize efficient communities,Id. Decision Makers,Existing Customer - Upgrade,10,Opp-112
ACC-45,237000,2024-11-10,2020-05-11T18:20:00+0200,Web,Grow 24/7 systems,Negotiation/Review,Existing Customer - Replacement,10,Opp-113
ACC-45,84000,2024-04-09,2022-03-07T14:42:00+0200,Web,Mesh global e-services,Perception Analysis,Existing Customer - Replacement,0,Opp-114
ACC-45,104000,2024-12-22,2022-08-09T15:29:00+0200,Partner Referral,Iterate ubiquitous bandwidth,Closed Won,Existing Customer - Upgrade,60,Opp-115
ACC-45,91000,2024-03-31,2022-12-11T07:25:00+0200,Partner Referral,E-enable scalable roi,Needs Analysis,New Customer,45,Opp-116
ACC-46,37000,2024-07-16,2022-07-11T22:21:00+0200,Phone Inquiry,Empower real-time convergence,Perception Analysis,Existing Customer - Downgrade,30,Opp-117
ACC-46,111000,2024-10-04,2021-08-11T21:51:00+0200,Phone Inquiry,Mesh seamless platforms,Proposal/Price Quote,New Customer,60,Opp-118
ACC-48,25000,2024-09-03,2024-11-08T09:17:00+0200,Trade Show,Reinvent next-generation solutions,Perception Analysis,Existing Customer - Upgrade,70,Opp-119
ACC-48,30000,2024-07-21,2023-06-08T03:22:00+0200,Partner Referral,Deploy innovative web services,Value Proposition,Existing Customer - Upgrade,50,Opp-120
ACC-48,43000,2025-03-17,2021-12-02T17:30:00+0200,Trade Show,Transition interactive methodologies,Perception Analysis,Existing Customer - Replacement,35,Opp-121
ACC-49,192000,2024-08-11,2023-01-09T06:00:00+0200,Trade Show,Morph visionary markets,Closed Lost,Existing Customer - Replacement,90,Opp-122
ACC-49,22000,2024-04-26,2023-01-11T15:51:00+0200,Direct Mail,Brand next-generation paradigms,Qualification,New Customer,30,Opp-123
ACC-50,35000,2024-09-07,2023-06-07T05:23:00+0200,Phone Inquiry,Aggregate end-to-end action-items,Negotiation/Review,New Customer,80,Opp-124
ACC-50,116000,2025-02-21,2022-01-04T17:19:00+0200,Direct Mail,Productize collaborative vortals,Negotiation/Review,Existing Customer - Downgrade,90,Opp-125
ACC-50,226000,2024-11-06,2025-02-06T20:23:58+0200,Other,Maximize one-to-one solutions,Closed Lost,New Customer,90,Opp-126
ACC-50,144000,2024-11-27,2021-09-08T14:42:00+0200,Other,Architect user-centric action-items,Closed Lost,Existing Customer - Upgrade,20,Opp-127
ACC-50,147000,2024-11-11,2022-03-08T01:47:58+0200,Web,Iterate clicks-and-mortar platforms,Value Proposition,Existing Customer - Upgrade,30,Opp-128
ACC-51,191000,2025-02-27,2020-10-03T06:36:00+0200,Other,Mesh efficient bandwidth,Id. Decision Makers,Existing Customer - Downgrade,15,Opp-129
ACC-52,216000,2024-06-04,2021-02-10T11:39:00+0200,Phone Inquiry,Drive seamless e-services,Prospecting,New Customer,35,Opp-130
ACC-53,50000,2024-10-12,2023-09-01T02:35:00+0200,Partner Referral,Synthesize leading-edge communities,Value Proposition,New Customer,15,Opp-131
ACC-53,10000,2025-02-23,2022-04-10T15:06:00+0200,Direct Mail,E-enable distributed web-readiness,Id. Decision Makers,Existing Customer - Replacement,100,Opp-132
ACC-54,164000,2025-03-15,2022-03-04T11:15:00+0200,Phone Inquiry,Synergize b2c niches,Id. Decision Makers,Existing Customer - Downgrade,15,Opp-133
ACC-54,27000,2024-10-05,2024-03-02T20:37:00+0200,Direct Mail,Exploit real-time synergies,Negotiation/Review,Existing Customer - Downgrade,85,Opp-134
ACC-54,29000,2024-07-17,2024-07-05T18:31:00+0200,Partner Referral,Engage e-business content,Prospecting,Existing Customer - Upgrade,10,Opp-135
ACC-55,37000,2024-09-28,2024-04-04T02:32:58+0200,Phone Inquiry,Monetize revolutionary channels,Needs Analysis,Existing Customer - Replacement,20,Opp-136
ACC-55,61000,2024-09-29,2024-01-01T16:45:00+0200,Trade Show,Aggregate dot-com synergies,Perception Analysis,Existing Customer - Upgrade,90,Opp-137
ACC-56,207000,2024-10-26,2024-02-02T11:08:00+0200,Phone Inquiry,Visualize out-of-the-box bandwidth,Proposal/Price Quote,Existing Customer - Downgrade,5,Opp-138
ACC-56,154000,2024-05-01,2020-11-06T11:23:00+0200,Partner Referral,Mesh bricks-and-clicks portals,Closed Lost,Existing Customer - Upgrade,20,Opp-139
ACC-57,188000,2024-08-19,2022-07-11T03:13:00+0200,Partner Referral,Iterate leading-edge relationships,Perception Analysis,Existing Customer - Upgrade,50,Opp-140
ACC-57,106000,2025-02-04,2021-07-11T03:56:00+0200,Partner Referral,Architect back-end interfaces,Closed Lost,Existing Customer - Upgrade,95,Opp-141
ACC-57,129000,2024-07-04,2021-08-05T04:16:00+0200,Web,Visualize 24/7 initiatives,Id. Decision Makers,Existing Customer - Upgrade,25,Opp-142
ACC-57,219000,2024-11-05,2022-10-12T01:36:00+0200,Trade Show,Deploy end-to-end e-markets,Prospecting,Existing Customer - Upgrade,80,Opp-143
ACC-57,247000,2024-08-06,2021-10-04T17:51:00+0200,Web,Grow cutting-edge systems,Needs Analysis,Existing Customer - Upgrade,40,Opp-144
ACC-57,99000,2024-04-05,2022-06-12T08:32:58+0200,Partner Referral,Monetize compelling functionalities,Value Proposition,Existing Customer - Replacement,60,Opp-145
ACC-57,221000,2024-12-17,2024-07-05T16:54:00+0200,Direct Mail,Optimize extensible platforms,Id. Decision Makers,New Customer,95,Opp-146
ACC-57,83000,2024-05-04,2021-10-08T19:12:00+0200,Web,Target compelling interfaces,Qualification,Existing Customer - Upgrade,25,Opp-147
ACC-58,17000,2024-04-01,2025-02-07T03:33:00+0200,Direct Mail,Enable enterprise systems,Negotiation/Review,New Customer,45,Opp-148
ACC-60,65000,2024-05-24,2022-01-13T03:08:00+0200,Other,Unleash transparent interfaces,Prospecting,Existing Customer - Replacement,5,Opp-149
ACC-60,152000,2025-01-04,2025-01-08T01:21:00+0200,Other,Iterate back-end e-markets,Needs Analysis,Existing Customer - Downgrade,25,Opp-150
ACC-60,244000,2024-04-05,2024-09-01T23:28:00+0200,Direct Mail,Reinvent collaborative methodologies,Needs Analysis,Existing Customer - Replacement,60,Opp-151
ACC-60,208000,2024-10-24,2024-01-03T01:56:00+0200,Web,Drive holistic schemas,Closed Won,Existing Customer - Upgrade,75,Opp-152
ACC-62,91000,2025-03-01,2023-01-07T07:14:00+0200,Trade Show,Synthesize web-enabled partnerships,Closed Won,Existing Customer - Replacement,65,Opp-153
ACC-62,199000,2024-11-22,2022-10-03T11:23:58+0200,Partner Referral,Visualize frictionless infrastructures,Closed Lost,New Customer,75,Opp-154
ACC-62,180000,2025-01-20,2024-04-08T20:51:00+0200,Other,Whiteboard revolutionary bandwidth,Negotiation/Review,Existing Customer - Downgrade,15,Opp-155
ACC-62,16000,2025-02-14,2021-05-01T22:30:00+0200,Web,Exploit viral initiatives,Negotiation/Review,Existing Customer - Upgrade,5,Opp-156
ACC-63,159000,2024-08-27,2024-08-01T06:49:00+0200,Web,Extend extensible schemas,Qualification,Existing Customer - Downgrade,25,Opp-157
ACC-64,135000,2025-02-23,2023-02-03T17:21:00+0200,Phone Inquiry,Leverage clicks-and-mortar methodologies,Qualification,Existing Customer - Replacement,100,Opp-158
ACC-64,229000,2024-06-11,2022-09-02T13:36:00+0200,Trade Show,Leverage value-added e-tailers,Prospecting,New Customer,60,Opp-159
ACC-66,149000,2024-06-11,2022-02-10T07:02:58+0200,Other,Enable world-class systems,Proposal/Price Quote,Existing Customer - Upgrade,0,Opp-160
ACC-66,119000,2024-07-08,2020-05-03T17:44:00+0200,Trade Show,E-enable transparent niches,Id. Decision Makers,New Customer,80,Opp-161
ACC-66,37000,2024-12-22,2022-07-07T01:38:00+0200,Trade Show,Expedite one-to-one initiatives,Needs Analysis,Existing Customer - Upgrade,70,Opp-162
ACC-66,10000,2024-06-25,2021-08-10T02:01:00+0200,Phone Inquiry,Unleash distributed paradigms,Closed Won,Existing Customer - Replacement,95,Opp-163
ACC-66,182000,2025-02-12,2021-02-08T12:36:00+0200,Other,Drive wireless paradigms,Value Proposition,Existing Customer - Upgrade,20,Opp-164
ACC-67,143000,2025-03-29,2023-05-08T12:26:00+0200,Trade Show,Evolve vertical models,Needs Analysis,New Customer,0,Opp-165
ACC-67,248000,2025-03-03,2020-07-12T20:08:00+0200,Partner Referral,Implement bleeding-edge methodologies,Needs Analysis,Existing Customer - Replacement,60,Opp-166
ACC-67,44000,2024-12-26,2023-07-04T20:12:00+0200,Web,Engage collaborative content,Proposal/Price Quote,Existing Customer - Replacement,15,Opp-167
ACC-69,75000,2024-06-02,2024-10-04T00:15:00+0200,Trade Show,Cultivate web-enabled relationships,Value Proposition,Existing Customer - Upgrade,100,Opp-168
ACC-69,33000,2024-04-09,2020-04-02T07:32:00+0200,Partner Referral,Implement rich web services,Value Proposition,Existing Customer - Downgrade,60,Opp-169
ACC-71,112000,2025-03-14,2022-09-08T09:44:00+0200,Phone Inquiry,Embrace b2b relationships,Value Proposition,Existing Customer - Downgrade,85,Opp-170
ACC-71,239000,2024-06-25,2023-04-06T11:42:00+0200,Partner Referral,Utilize magnetic e-services,Closed Won,New Customer,100,Opp-171
ACC-71,59000,2024-06-02,2021-07-04T17:06:00+0200,Other,Enhance value-added technologies,Needs Analysis,New Customer,80,Opp-172
ACC-72,20000,2024-04-29,2023-05-04T17:23:00+0200,Direct Mail,Matrix plug-and-play users,Negotiation/Review,Existing Customer - Replacement,95,Opp-173
ACC-73,188000,2024-05-24,2023-11-12T06:29:00+0200,Phone Inquiry,Redefine strategic web services,Qualification,Existing Customer - Upgrade,50,Opp-174
ACC-74,76000,2024-05-03,2021-09-06T09:22:00+0200,Partner Referral,E-enable 24/365 architectures,Value Proposition,Existing Customer - Upgrade,100,Opp-175
ACC-75,11000,2024-04-20,2023-08-04T17:32:00+0200,Direct Mail,Productize innovative experiences,Negotiation/Review,Existing Customer - Replacement,25,Opp-176
ACC-76,102000,2024-04-28,2022-09-10T23:39:00+0200,Direct Mail,Embrace frictionless networks,Closed Won,New Customer,75,Opp-177
ACC-77,13000,2024-12-09,2020-06-04T22:56:00+0200,Trade Show,Implement synergistic infrastructures,Value Proposition,New Customer,90,Opp-178
ACC-77,121000,2024-07-01,2023-12-03T01:14:00+0200,Trade Show,Strategize end-to-end infrastructures,Qualification,New Customer,25,Opp-179
ACC-77,122000,2024-11-10,2024-04-09T23:03:00+0200,Direct Mail,Innovate granular e-services,Perception Analysis,Existing Customer - Upgrade,80,Opp-180
ACC-78,139000,2024-10-05,2020-09-11T13:12:00+0200,Direct Mail,Re-contextualize ubiquitous deliverables,Id. Decision Makers,Existing Customer - Upgrade,20,Opp-181
